,0
1869.6084401959347,995
1869.6088107623057,927
1869.6091759716978,971
1869.609535930163,963
1869.6098907416545,1026
1869.6102405080671,1014
1869.6105853292802,969
1869.6109253031946,937
1869.611260525775,999
1869.6115910910848,892
1869.6119170913275,907
1869.61223861688,1003
1869.6125557563312,959
1869.612868596516,935
1869.6131772225503,965
1869.6134817178659,852
1869.6137821642424,950
1869.6140786418405,913
1869.614371229235,927
1869.6146600034447,943
1869.614945039964,870
1869.6152264127923,879
1869.6155041944653,919
1869.615778456082,905
1869.616049267334,968
1869.616316696533,913
1869.6165808106396,925
1869.6168416752876,952
1869.6170993548124,892
1869.6173539122751,903
1869.617605409489,934
1869.6178539070434,945
1869.6180994643282,923
1869.6183421395576,932
1869.6185819897933,916
1869.6188190709677,940
1869.6190534379057,955
1869.6192851443461,938
1869.6195142429656,950
1869.619740785396,917
1869.6199648222487,899
1869.6201864031318,920
1869.6204055766725,981
1869.6206223905338,942
1869.6208368914367,976
1869.6210491251763,983
1869.621259136641,1001
1869.621466969831,1006
1869.6216726678754,1021
1869.6218762730487,951
1869.6220778267893,991
1869.622277369715,999
1869.622474941639,1040
1869.6226705815866,1025
1869.622864327811,1044
1869.6230562178068,1076
1869.6232462883272,1036
1869.6234345753978,1098
1869.6236211143307,1131
1869.6238059397385,1115
1869.6239890855493,1132
1869.6241705850189,1163
1869.6243504707445,1155
1869.6245287746788,1135
1869.624705528141,1203
1869.6248807618304,1174
1869.6250545058392,1185
1869.625226789663,1225
1869.625397642213,1298
1869.62556709183,1294
1869.6257351662914,1290
1869.6259018928256,1308
1869.626067298122,1339
1869.6262314083415,1351
1869.6263942491273,1379
1869.626555845614,1442
1869.626716222439,1381
1869.6268754037528,1424
1869.6270334132264,1522
1869.6271902740627,1485
1869.6273460090056,1496
1869.6275006403475,1555
1869.6276541899406,1612
1869.627806679204,1575
1869.6279581291328,1754
1869.6281085603061,1664
1869.6282579928961,1772
1869.628406446675,1719
1869.628553941024,1632
1869.62870049494,1803
1869.6288461270442,1806
