Bin_Center,Count
1.966493549367560718e+03,1.375000000000000000e+03
1.966529041080917978e+03,1.253000000000000000e+03
1.966563837584945304e+03,1.360000000000000000e+03
1.966597952427670862e+03,1.310000000000000000e+03
1.966631398897328381e+03,1.370000000000000000e+03
1.966664190027174300e+03,1.368000000000000000e+03
1.966696338600220543e+03,1.385000000000000000e+03
1.966727857153886816e+03,1.379000000000000000e+03
1.966758757984571503e+03,1.336000000000000000e+03
1.966789053152144788e+03,1.299000000000000000e+03
1.966818754484361989e+03,1.319000000000000000e+03
1.966847873581200929e+03,1.365000000000000000e+03
1.966876421819122697e+03,1.372000000000000000e+03
1.966904410355257824e+03,1.364000000000000000e+03
1.966931850131519695e+03,1.316000000000000000e+03
1.966958751878644762e+03,1.417000000000000000e+03
1.966985126120159975e+03,1.368000000000000000e+03
1.967010983176282480e+03,1.336000000000000000e+03
1.967036333167747671e+03,1.321000000000000000e+03
1.967061186019570641e+03,1.330000000000000000e+03
1.967085551464739865e+03,1.285000000000000000e+03
1.967109439047843807e+03,1.305000000000000000e+03
1.967132858128634780e+03,1.377000000000000000e+03
1.967155817885525721e+03,1.332000000000000000e+03
1.967178327319027630e+03,1.278000000000000000e+03
1.967200395255121293e+03,1.310000000000000000e+03
1.967222030348570115e+03,1.285000000000000000e+03
1.967243241086173157e+03,1.327000000000000000e+03
1.967264035789956779e+03,1.316000000000000000e+03
1.967284422620312171e+03,1.348000000000000000e+03
1.967304409579071034e+03,1.308000000000000000e+03
1.967324004512529200e+03,1.343000000000000000e+03
1.967343215114412033e+03,1.324000000000000000e+03
1.967362048928787544e+03,1.260000000000000000e+03
1.967380513352924481e+03,1.366000000000000000e+03
1.967398615640099251e+03,1.260000000000000000e+03
1.967416362902349420e+03,1.310000000000000000e+03
1.967433762113178545e+03,1.288000000000000000e+03
1.967450820110210088e+03,1.348000000000000000e+03
1.967467543597791064e+03,1.275000000000000000e+03
1.967483939149548860e+03,1.299000000000000000e+03
1.967500013210901898e+03,1.296000000000000000e+03
1.967515772101519815e+03,1.354000000000000000e+03
1.967531222017742039e+03,1.358000000000000000e+03
1.967546369034947929e+03,1.352000000000000000e+03
1.967561219109885997e+03,1.315000000000000000e+03
1.967575778082955821e+03,1.271000000000000000e+03
1.967590051680451779e+03,1.294000000000000000e+03
1.967604045516759470e+03,1.319000000000000000e+03
1.967617765096516905e+03,1.372000000000000000e+03
1.967631215816730219e+03,1.291000000000000000e+03
1.967644402968852319e+03,1.303000000000000000e+03
1.967657331740820609e+03,1.290000000000000000e+03
1.967670007219059698e+03,1.343000000000000000e+03
1.967682434390441585e+03,1.293000000000000000e+03
1.967694618144213564e+03,1.316000000000000000e+03
1.967706563273885877e+03,1.248000000000000000e+03
1.967718274479086176e+03,1.293000000000000000e+03
1.967729756367377831e+03,1.301000000000000000e+03
1.967741013456045494e+03,1.273000000000000000e+03
1.967752050173842690e+03,1.236000000000000000e+03
1.967762870862711679e+03,1.264000000000000000e+03
1.967773479779465788e+03,1.328000000000000000e+03
1.967783881097444009e+03,1.329000000000000000e+03
1.967794078908129904e+03,1.279000000000000000e+03
1.967804077222744127e+03,1.235000000000000000e+03
1.967813879973802614e+03,1.225000000000000000e+03
1.967823491016646813e+03,1.312000000000000000e+03
1.967832914130946165e+03,1.264000000000000000e+03
1.967842153022168986e+03,1.255000000000000000e+03
1.967851211323027201e+03,1.227000000000000000e+03
1.967860092594892876e+03,1.218000000000000000e+03
1.967868800329187707e+03,1.255000000000000000e+03
1.967877337948746117e+03,1.210000000000000000e+03
1.967885708809151311e+03,1.287000000000000000e+03
1.967893916200046988e+03,1.269000000000000000e+03
1.967901963346422917e+03,1.219000000000000000e+03
1.967909853409876632e+03,1.241000000000000000e+03
1.967917589489849433e+03,1.291000000000000000e+03
1.967925174624841929e+03,1.283000000000000000e+03
1.967932611793600699e+03,1.219000000000000000e+03
1.967939903916288131e+03,1.308000000000000000e+03
1.967947053855624745e+03,1.196000000000000000e+03
1.967954064418013331e+03,1.282000000000000000e+03
1.967960938354639438e+03,1.289000000000000000e+03
1.967967678362549350e+03,1.232000000000000000e+03
1.967974287085711239e+03,1.207000000000000000e+03
1.967980767116051993e+03,1.240000000000000000e+03
1.967987120994475390e+03,1.237000000000000000e+03
1.967993351211861636e+03,1.229000000000000000e+03
1.967999460210045527e+03,1.253000000000000000e+03
1.968005450382777553e+03,1.262000000000000000e+03
1.968011324076665005e+03,1.276000000000000000e+03
1.968017083592095560e+03,1.281000000000000000e+03
1.968022731184143140e+03,1.173000000000000000e+03
1.968028269063455355e+03,1.138000000000000000e+03
1.968033699397125929e+03,1.247000000000000000e+03
1.968039024309545766e+03,1.227000000000000000e+03
1.968044245883242866e+03,1.203000000000000000e+03
1.968049366159702004e+03,1.189000000000000000e+03
1.968054387140170093e+03,1.262000000000000000e+03
1.968059310786446076e+03,1.176000000000000000e+03
1.968064139021654455e+03,1.204000000000000000e+03
1.968068873731004942e+03,1.193000000000000000e+03
1.968073516762536201e+03,1.193000000000000000e+03
1.968078069927846173e+03,1.146000000000000000e+03
1.968082535002807163e+03,1.226000000000000000e+03
1.968086913728267746e+03,1.196000000000000000e+03
1.968091207810741025e+03,1.202000000000000000e+03
1.968095418923078796e+03,1.135000000000000000e+03
