Bin_Center,Count
1.869332376794066931e+03,1.183000000000000000e+03
1.869337792137137967e+03,1.136000000000000000e+03
1.869343102458971316e+03,1.231000000000000000e+03
1.869348309830137850e+03,1.208000000000000000e+03
1.869353416280560850e+03,1.136000000000000000e+03
1.869358423800305445e+03,1.171000000000000000e+03
1.869363334340355777e+03,1.162000000000000000e+03
1.869368149813376704e+03,1.217000000000000000e+03
1.869372872094458216e+03,1.137000000000000000e+03
1.869377503021850316e+03,1.154000000000000000e+03
1.869382044397679010e+03,1.143000000000000000e+03
1.869386497988652309e+03,1.184000000000000000e+03
1.869390865526750758e+03,1.158000000000000000e+03
1.869395148709904788e+03,1.082000000000000000e+03
1.869399349202659778e+03,1.173000000000000000e+03
1.869403468636827483e+03,1.122000000000000000e+03
1.869407508612125412e+03,1.089000000000000000e+03
1.869411470696804372e+03,1.102000000000000000e+03
1.869415356428262385e+03,1.152000000000000000e+03
1.869419167313648813e+03,1.109000000000000000e+03
1.869422904830454399e+03,1.131000000000000000e+03
1.869426570427093111e+03,1.054000000000000000e+03
1.869430165523469441e+03,1.123000000000000000e+03
1.869433691511536836e+03,1.120000000000000000e+03
1.869437149755844302e+03,1.129000000000000000e+03
1.869440541594073238e+03,1.126000000000000000e+03
1.869443868337564027e+03,1.018000000000000000e+03
1.869447131271830358e+03,1.083000000000000000e+03
1.869450331657066272e+03,1.068000000000000000e+03
1.869453470728642515e+03,1.029000000000000000e+03
1.869456549697591527e+03,1.086000000000000000e+03
1.869459569751086974e+03,1.052000000000000000e+03
1.869462532052908500e+03,1.006000000000000000e+03
1.869465437743902839e+03,1.059000000000000000e+03
1.869468287942432198e+03,1.090000000000000000e+03
1.869471083744816042e+03,1.038000000000000000e+03
1.869473826225763787e+03,1.045000000000000000e+03
1.869476516438797489e+03,1.014000000000000000e+03
1.869479155416669300e+03,1.003000000000000000e+03
1.869481744171768241e+03,1.006000000000000000e+03
1.869484283696520833e+03,1.019000000000000000e+03
1.869486774963781954e+03,1.117000000000000000e+03
1.869489218927220236e+03,1.008000000000000000e+03
1.869491616521694141e+03,9.890000000000000000e+02
1.869493968663622582e+03,1.011000000000000000e+03
1.869496276251346217e+03,9.880000000000000000e+02
1.869498540165483519e+03,1.055000000000000000e+03
1.869500761269277973e+03,1.061000000000000000e+03
1.869502940408941413e+03,9.950000000000000000e+02
1.869505078413987803e+03,9.880000000000000000e+02
1.869507176097561114e+03,9.630000000000000000e+02
1.869509234256758191e+03,1.017000000000000000e+03
1.869511253672944349e+03,9.990000000000000000e+02
1.869513235112061921e+03,9.350000000000000000e+02
